"schedule_date","schedule_season","schedule_week","team_home","team_away","stadium","team_favorite_id","over_under_line","weather_detail","weather_temperature","weather_wind_mph","weather_humidity","score_home","score_away","stadium_neutral","schedule_playoff","game_id","homeFav","scoreFavMinDog","line","Error","ErrMag","scoretotal","OUError"
"10/05/1980",1980,5,"DAL","NYG","Texas Stadium","DAL",42,"",69,10,"46",24,3,FALSE,FALSE,"19801005NYGDAL",1,21,12,9,9,27,-15
"10/05/1980",1980,5,"GB","CIN","Lambeau Field","CIN",38,"",39,7,"65",14,9,FALSE,FALSE,"19801005CINGB",0,-5,7,-12,12,23,-15
"10/05/1980",1980,5,"TEN","SEA","Houston Astrodome","TEN",37,"DOME",72,0,"",7,26,FALSE,FALSE,"19801005SEATEN",1,-19,7,-26,26,33,-4
"10/05/1980",1980,5,"LAR","SF","Anaheim Stadium","LAR",48,"",65,7,"79",48,26,FALSE,FALSE,"19801005SFLAR",1,22,9,13,13,74,26
"10/05/1980",1980,5,"MIA","IND","Orange Bowl","MIA",36,"",79,8,"84",17,30,FALSE,FALSE,"19801005INDMIA",1,-13,1,-14,14,47,11
"10/05/1980",1980,5,"MIN","PIT","Metropolitan Stadium","PIT",46,"",45,11,"60",17,23,FALSE,FALSE,"19801005PITMIN",0,6,8,-2,2,40,-6
"10/05/1980",1980,5,"NO","ARI","Louisiana Superdome","ARI",45,"DOME",72,0,"",7,40,FALSE,FALSE,"19801005ARINO",0,33,1,32,32,47,2
"10/05/1980",1980,5,"NYJ","NE","Giants Stadium","NE",49,"",58,11,"53",11,21,FALSE,FALSE,"19801005NENYJ",0,10,4,6,6,32,-17
"10/05/1980",1980,5,"OAK","KC","Oakland Coliseum","OAK",39,"",62,8,"83",17,31,FALSE,FALSE,"19801005KCOAK",1,-14,7,-21,21,48,9
"10/05/1980",1980,5,"PHI","WAS","Veterans Stadium","PHI",35,"",54,6,"59",24,14,FALSE,FALSE,"19801005WASPHI",1,10,7,3,3,38,3
"10/05/1980",1980,5,"LAC","BUF","Qualcomm Stadium","LAC",44,"",68,10,"82",24,26,FALSE,FALSE,"19801005BUFLAC",1,-2,7,-9,9,50,6
"10/06/1980",1980,5,"CHI","TB","Soldier Field","TB",35,"",49,14,"59",23,0,FALSE,FALSE,"19801006TBCHI",0,-23,1,-24,24,23,-12
"10/12/1980",1980,6,"ATL","NYJ","Atlanta-Fulton County Stadium","ATL",46,"",59,12,"48",7,14,FALSE,FALSE,"19801012NYJATL",1,-7,7,-14,14,21,-25
"10/12/1980",1980,6,"BUF","IND","Ralph Wilson Stadium","BUF",40,"",49,12,"74",12,17,FALSE,FALSE,"19801012INDBUF",1,-5,3,-8,8,29,-11
"10/12/1980",1980,6,"DAL","SF","Texas Stadium","DAL",48,"",64,7,"37",59,14,FALSE,FALSE,"19801012SFDAL",1,45,9,36,36,73,25
"10/12/1980",1980,6,"DET","NO","Pontiac Silverdome","DET",45,"DOME",72,0,"",24,13,FALSE,FALSE,"19801012NODET",1,11,11,0,0,37,-8
