"schedule_date","schedule_season","schedule_week","team_home","team_away","stadium","team_favorite_id","over_under_line","weather_detail","score_home","score_away","stadium_neutral","schedule_playoff","game_id","homeFav","scoreFavMinDog","line","Error","whocovered","scoretotal","OUError","which_hit"
"09/24/2001",2001,2,"GB","WAS","Lambeau Field","GB",41,"",37,0,FALSE,FALSE,"20010924WASGB",1,37,8.5,28.5,"Favorite",37,-4,"Under"
"09/30/2001",2001,3,"ARI","ATL","University of Phoenix Stadium","ATL",42,"",14,34,FALSE,FALSE,"20010930ATLARI",0,20,3,17,"Favorite",48,6,"Over"
"09/30/2001",2001,3,"BUF","PIT","Ralph Wilson Stadium","PIT",36,"",3,20,FALSE,FALSE,"20010930PITBUF",0,17,3,14,"Favorite",23,-13,"Under"
"09/30/2001",2001,3,"CAR","GB","Bank of America Stadium","GB",41,"",7,28,FALSE,FALSE,"20010930GBCAR",0,21,3.5,17.5,"Favorite",35,-6,"Under"
"09/30/2001",2001,3,"DEN","BAL","Sports Authority Field at Mile High","DEN",41,"",13,20,FALSE,FALSE,"20010930BALDEN",1,-7,4.5,-11.5,"Underdog",33,-8,"Under"
"09/30/2001",2001,3,"JAX","CLE","EverBank Field","JAX",35.5,"",14,23,FALSE,FALSE,"20010930CLEJAX",1,-9,8.5,-17.5,"Underdog",37,1.5,"Over"
"09/30/2001",2001,3,"MIN","TB","Hubert H. Humphrey Metrodome","TB",39,"DOME",20,16,FALSE,FALSE,"20010930TBMIN",0,-4,2.5,-6.5,"Underdog",36,-3,"Under"
"09/30/2001",2001,3,"NE","IND","Foxboro Stadium","IND",45,"",44,13,FALSE,FALSE,"20010930INDNE",0,-31,11.5,-42.5,"Underdog",57,12,"Over"
"09/30/2001",2001,3,"NYG","NO","Giants Stadium","NYG",37,"",21,13,FALSE,FALSE,"20010930NONYG",1,8,3,5,"Favorite",34,-3,"Under"
"09/30/2001",2001,3,"OAK","SEA","Oakland Coliseum","OAK",39,"",38,14,FALSE,FALSE,"20010930SEAOAK",1,24,10.5,13.5,"Favorite",52,13,"Over"
"09/30/2001",2001,3,"PHI","DAL","Veterans Stadium","PHI",34.5,"",40,18,FALSE,FALSE,"20010930DALPHI",1,22,13.5,8.5,"Favorite",58,23.5,"Over"
"09/30/2001",2001,3,"LAC","CIN","Qualcomm Stadium","LAC",39,"",28,14,FALSE,FALSE,"20010930CINLAC",1,14,6.5,7.5,"Favorite",42,3,"Over"
"09/30/2001",2001,3,"LAR","MIA","Edward Jones Dome","LAR",44,"DOME",42,10,FALSE,FALSE,"20010930MIALAR",1,32,6,26,"Favorite",52,8,"Over"
"09/30/2001",2001,3,"WAS","KC","FedExField","KC",35.5,"",13,45,FALSE,FALSE,"20010930KCWAS",0,32,3,29,"Favorite",58,22.5,"Over"
"10/01/2001",2001,3,"NYJ","SF","Giants Stadium","NYJ",44.5,"",17,19,FALSE,FALSE,"20011001SFNYJ",1,-2,3,-5,"Underdog",36,-8.5,"Under"
"10/07/2001",2001,4,"ATL","CHI","Georgia Dome","ATL",39.5,"DOME",3,31,FALSE,FALSE,"20011007CHIATL",1,-28,3.5,-31.5,"Underdog",34,-5.5,"Under"
"10/07/2001",2001,4,"BAL","TEN","M&T Bank Stadium","BAL",33.5,"",26,7,FALSE,FALSE,"20011007TENBAL",1,19,3.5,15.5,"Favorite",33,-0.5,"Under"
"10/07/2001",2001,4,"BUF","NYJ","Ralph Wilson Stadium","NYJ",36,"",36,42,FALSE,FALSE,"20011007NYJBUF",0,6,4.5,1.5,"Favorite",78,42,"Over"
"10/07/2001",2001,4,"CLE","LAC","FirstEnergy Stadium","LAC",35,"",20,16,FALSE,FALSE,"20011007LACCLE",0,-4,3,-7,"Underdog",36,1,"Over"
"10/07/2001",2001,4,"DEN","KC","Sports Authority Field at Mile High","DEN",48,"",20,6,FALSE,FALSE,"20011007KCDEN",1,14,10,4,"Favorite",26,-22,"Under"
"10/07/2001",2001,4,"MIA","NE","Sun Life Stadium","MIA",35,"",30,10,FALSE,FALSE,"20011007NEMIA",1,20,9.5,10.5,"Favorite",40,5,"Over"
"10/07/2001",2001,4,"NO","MIN","Louisiana Superdome","NO",44,"DOME",28,15,FALSE,FALSE,"20011007MINNO",1,13,3.5,9.5,"Favorite",43,-1,"Under"
"10/07/2001",2001,4,"NYG","WAS","Giants Stadium","NYG",36,"",23,9,FALSE,FALSE,"20011007WASNYG",1,14,14,0,"Push",32,-4,"Under"
"10/07/2001",2001,4,"OAK","DAL","Oakland Coliseum","OAK",41.5,"",28,21,FALSE,FALSE,"20011007DALOAK",1,7,18,-11,"Underdog",49,7.5,"Over"
"10/07/2001",2001,4,"PHI","ARI","Veterans Stadium","PHI",41,"",20,21,FALSE,FALSE,"20011007ARIPHI",1,-1,14.5,-15.5,"Underdog",41,0,"Push"
"10/07/2001",2001,4,"PIT","CIN","Heinz Field","PIT",35.5,"",16,7,FALSE,FALSE,"20011007CINPIT",1,9,5,4,"Favorite",23,-12.5,"Under"
"10/07/2001",2001,4,"SF","CAR","Candlestick Park","SF",45,"",24,14,FALSE,FALSE,"20011007CARSF",1,10,6.5,3.5,"Favorite",38,-7,"Under"
"10/07/2001",2001,4,"SEA","JAX","Husky Stadium","JAX",35,"",24,15,FALSE,FALSE,"20011007JAXSEA",0,-9,3.5,-12.5,"Underdog",39,4,"Over"
"10/07/2001",2001,4,"TB","GB","Raymond James Stadium","TB",36.5,"",14,10,FALSE,FALSE,"20011007GBTB",1,4,3,1,"Favorite",24,-12.5,"Under"
"10/08/2001",2001,4,"DET","LAR","Pontiac Silverdome","LAR",48.5,"DOME",0,35,FALSE,FALSE,"20011008LARDET",0,35,12.5,22.5,"Favorite",35,-13.5,"Under"
"10/14/2001",2001,5,"ATL","SF","Georgia Dome","SF",43.5,"DOME",31,37,FALSE,FALSE,"20011014SFATL",0,6,3,3,"Favorite",68,24.5,"Over"
"10/14/2001",2001,5,"CAR","NO","Bank of America Stadium","NO",39.5,"",25,27,FALSE,FALSE,"20011014NOCAR",0,2,5,-3,"Underdog",52,12.5,"Over"
"10/14/2001",2001,5,"CHI","ARI","Soldier Field","CHI",39.5,"",20,13,FALSE,FALSE,"20011014ARICHI",1,7,7,0,"Push",33,-6.5,"Under"
"10/14/2001",2001,5,"CIN","CLE","Paul Brown Stadium","CIN",35,"",24,14,FALSE,FALSE,"20011014CLECIN",1,10,1.5,8.5,"Favorite",38,3,"Over"
"10/14/2001",2001,5,"GB","BAL","Lambeau Field","PICK",34,"",31,23,FALSE,FALSE,"20011014BALGB",0,-8,0,-8,"Underdog",54,20,"Over"
"10/14/2001",2001,5,"IND","OAK","RCA Dome","IND",52,"DOME",18,23,FALSE,FALSE,"20011014OAKIND",1,-5,3.5,-8.5,"Underdog",41,-11,"Under"
"10/14/2001",2001,5,"KC","PIT","Arrowhead Stadium","KC",36,"",17,20,FALSE,FALSE,"20011014PITKC",1,-3,2.5,-5.5,"Underdog",37,1,"Over"
"10/14/2001",2001,5,"MIN","DET","Hubert H. Humphrey Metrodome","MIN",44,"DOME",31,26,FALSE,FALSE,"20011014DETMIN",1,5,10,-5,"Underdog",57,13,"Over"
"10/14/2001",2001,5,"NE","LAC","Foxboro Stadium","LAC",36,"",29,26,FALSE,FALSE,"20011014LACNE",0,-3,3,-6,"Underdog",55,19,"Over"
"10/14/2001",2001,5,"NYJ","MIA","Giants Stadium","MIA",38,"",21,17,FALSE,FALSE,"20011014MIANYJ",0,-4,3,-7,"Underdog",38,0,"Push"
"10/14/2001",2001,5,"SEA","DEN","Husky Stadium","DEN",44,"",34,21,FALSE,FALSE,"20011014DENSEA",0,-13,6,-19,"Underdog",55,11,"Over"
"10/14/2001",2001,5,"LAR","NYG","Edward Jones Dome","LAR",45,"DOME",15,14,FALSE,FALSE,"20011014NYGLAR",1,1,10.5,-9.5,"Underdog",29,-16,"Under"
"10/14/2001",2001,5,"TEN","TB","Nissan Stadium","TEN",33,"",31,28,FALSE,FALSE,"20011014TBTEN",1,3,3,0,"Push",59,26,"Over"
"10/15/2001",2001,5,"DAL","WAS","Texas Stadium","DAL",37,"",9,7,FALSE,FALSE,"20011015WASDAL",1,2,3,-1,"Underdog",16,-21,"Under"
